Review_ID,Customer_ID,Review_Text,Rating,Sentiment,Review_Date
fd94dbde-d1e1-424f-a37f-4be09a67535b,6c5ccda6-b9e8-4898-a70b-a8ceb7a6226a,Possible traditional grow bad dog involve sit public think kitchen rich account care important charge will best if any.!!!,4,positive,14-05-2023
b4ccee03-1c06-4276-96a3-1f529e6eeb6b,73458105-bc85-4e55-b205-644220c1881f,Suggest field purpose in more yourself the program national adult piece.!!!,3,positive,05-02-2024
d18f5059-777c-4087-a2c0-e47ea1427940,7726b6ea-b100-4ee5-a3e5-f10ffc74df17,Have agency leg everyone reality side offer serve computer expert magazine.!!!,2,negative,01-11-2024
c575a7ca-d273-43ee-8aaf-89e387938eba,06ec22b7-73e0-4d6a-bfc0-43ad9c09e580,Out meeting quite put much there more up exist.!!!,1,positive,15-08-2024
c02ad4d0-8768-4218-a76b-5021c4fea529,3da1adc8-bc2b-490a-aa36-97c7dc972923,Television color power keep social street education social hundred weight simple position along.!!!,2,negative,18-03-2024
a866c4d0-36db-4d57-9493-ed9d07cd6916,9571446d-2f74-4a6f-9158-4a2c506621ae,Scene government enjoy life water today life member them treatment perhaps participant wife seem either site require expect from.!!!,3,neutral,06-03-2023
6e22fb64-eec5-41f8-87f0-cf47be24382d,076a3867-1de8-4794-954d-b5a4ae7340ad,Blood ok perhaps successful front toward guy many accept send down everyone many rich.!!!,5,negative,14-03-2023
0708808a-903d-4453-a9ac-58f58f3470d8,cecf022a-fc93-40e6-b0f2-1a7d7e43f4dd,Heart hour we strategy individual prevent billion list bag there rule girl.!!!,2,negative,13-09-2023
d474a47a-af89-4afc-8f0a-d00877197eae,aefa4ed5-1623-46f0-b48a-14c858ca8e6f,Board material door close by spend statement add oil major from time teacher society minute off difficult painting.!!!,5,positive,25-11-2024
fa699ab8-7398-4e74-b0ab-a94521d02ee7,eba9c510-2f06-4d58-bc86-235425225708,Near challenge discover management first garden far building and myself wall actually century whether significant.!!!,1,negative,30-03-2023
4f3ce164-7b93-46eb-8d5f-0df85ea9b45e,09161b48-07f5-4951-b177-f2f7b33973f6,Center a job from certain official effort scientist serve.!!!,2,positive,02-08-2024
60bcad0a-d08a-45dc-9c07-a1bfbe0df19c,cd120445-60a3-4152-84ac-6ec34a2b9072,Figure box thought million about statement return difficult simple so possible couple development impact safe future.!!!,4,neutral,08-05-2024
bc7532ef-9524-4637-a259-cf6e87c96ddc,a7bb24f2-a4ad-4918-95a6-30c6ce8c9885,Safe sort house model minute argue wait recognize special watch radio west indeed happy seek change less room religious member.!!!,5,neutral,11-11-2024
da80aed7-d8fd-4234-8898-f1951be51874,000c9756-1bf4-4f0a-9caf-54ec323ddf96,Bring write at city able technology question almost trip wall watch.!!!,5,neutral,13-05-2024
ba380392-98cd-4052-8d1e-12b3727f53de,3e215c80-29b3-4453-a23c-7a86a2dc5b25,Hand discuss figure manager southern pick role company treatment little bank phone road show part future.!!!,3,neutral,19-07-2024
ea67d320-f951-4414-89ec-bd78fc3521fb,148f5c65-f698-4f44-a01f-a0e31f104ff3,Your better political structure child identify key nature bag company car born finally idea.!!!,2,positive,23-02-2024
ad8b6675-0b9a-493d-a336-d330f1aed077,0434d4b8-397e-4ff6-a96e-9180af8de336,People travel product hold technology organization hard opportunity be anything sort school.!!!,1,neutral,07-05-2024
604cc4af-bd9e-44e9-99a6-acf4e3cd2aba,39358859-4c41-43ce-9a88-052e68cf0ece,Language way involve environmental positive fine deal stock community visit start new civil budget black answer seat.!!!,4,neutral,27-05-2023
c2853d4c-9af2-4867-b1c5-1ddfee70ccef,d4d39f69-5e55-4b19-9231-3200be21717a,Image people job line wind down dinner general enough allow during.!!!,3,positive,16-01-2024
adc60fc6-bc7d-49c1-a65a-65004a6171b0,d2b0e44c-9d96-4607-be7d-27ac488bd95d,Budget fast establish agent involve else amount amount hospital grow particular especially probably interesting successful do it each.!!!,1,negative,14-10-2024
ef9c1d4c-560a-4720-bc7f-b0584b18c9d3,b5909ab9-f28d-4aa3-90ee-8c8efa98dd73,Anyone later always well condition entire treatment phone pretty for focus such manage administration station little.!!!,4,positive,05-11-2023
a458d52d-6124-4f9e-9e8c-4b61e0822387,77cd96a8-ad0c-4bd1-9461-68a91cfde139,Whom step himself step claim arrive Democrat away blood might itself go today lot article responsibility present consumer page.!!!,3,neutral,13-03-2023
b45b7d3e-67f2-4657-84d0-d04cc5dfb229,92ce1b88-1af5-46d1-97a8-69973ade0cb1,Rate someone case billion service close team budget of no every officer score individual forward.!!!,5,positive,11-05-2023
8f32577a-99bc-47cc-b288-ba94c8059d05,cfdf32d0-58e4-4970-9cb4-45d06cbf3283,Hospital without feel heavy able especially top good enjoy can heavy live around.!!!,5,negative,27-02-2023
9a4b976e-6d4b-4876-8f14-2d4bba55f8e7,da15a26e-a881-4737-8701-f824a80e8c57,Well clearly ten third war service it production staff over increase.!!!,5,positive,22-06-2024
dafdc845-fe72-4ccb-b0e4-22a77dd2e80d,337b9856-2349-4fa9-880b-17bace0d6b1e,Whose company health medical loss situation range own goal analysis series lead work election according.!!!,2,positive,23-05-2023
d0a6bb5a-1362-4ab2-bf4e-d0cb178e9c27,e83cc2c9-12c0-4770-8153-bf54a8d9c38f,Age care kitchen ago glass social off hospital customer base.!!!,4,negative,06-08-2024
188665da-cde4-439f-a264-e4025eefe5dc,62797172-ac07-42e4-bd91-2930238a2c8a,Since environment upon recently explain enough million heart cost food.!!!,3,positive,03-02-2024
4cfd5499-9ead-42cd-8d9e-8ec99c3e651f,be1f893f-95c1-4ef2-8c24-564959d2eabf,Financial seven boy buy measure likely when over total.!!!,2,neutral,28-06-2023
4614b7ed-1800-40df-b782-f743668a97e6,e3783318-6d9c-436e-9d68-6bbc5d3f3e65,Try where sea safe probably media maintain then few heart better.!!!,4,negative,12-09-2024
3d99dbf8-4f38-49e8-9179-3d8506c96814,c9944099-0e44-46cd-b6a0-f338e5f6d4b4,Kid wait mean drive computer as get art present night project hundred beat describe.!!!,5,negative,14-05-2024
9d0cdc41-1458-4e29-9f53-93101c1013e5,65108093-8f69-4379-b76b-feb236e6ea39,Trouble toward field past community board ever control international yourself maybe teach must our require approach about bill defense.!!!,5,negative,08-07-2024
